Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Epoch Time
1,0.11258180303927082,0.7241583466529846,0.11043932164379393,0.8753315210342407,29.095691782998983
2,0.1056115706239448,0.8479031920433044,0.09532311440146571,0.8143236041069031,31.877060971999526
3,0.09334241781478371,0.772593080997467,0.09273279622315728,0.8514588475227356,33.060865081000884
4,0.08754520619049343,0.7965151071548462,0.08922099331962019,0.7824933528900146,33.167495405999944
5,0.08279140584051996,0.8219137787818909,0.08847332680573197,0.7480105757713318,24.429299130999425
6,0.07623862732604489,0.8479031920433044,0.08735783987083233,0.8116710782051086,24.458800833999703
7,0.07268185799141573,0.872711181640625,0.08594813413265845,0.8222811818122864,24.539768757000274
8,0.0709634660635907,0.8848198652267456,0.08628759681387985,0.8090185523033142,28.411149386000034
9,0.07089626947522375,0.8857058882713318,0.08334015408624705,0.8169761300086975,24.30620113399891
10,0.07254114568374316,0.8688718676567078,0.08265564936541753,0.8116710782051086,24.507238690999657
11,0.07201914061509992,0.8721205592155457,0.08890749186040235,0.7771883010864258,24.463887958998384
12,0.06943860178295143,0.8936799168586731,0.085309427518111,0.8116710782051086,24.444784464001714
13,0.06808721748985487,0.8992912173271179,0.08695094931663189,0.8116710782051086,24.383554326001104
