Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Epoch Time
1,0.11219789600027291,0.7832250595092773,0.11044895965161311,0.8753315210342407,25.911542938999446
2,0.10489592705157405,0.8331364989280701,0.0927831902111873,0.8328912258148193,24.422974872999475
3,0.09497188831741685,0.7728884220123291,0.08790517960050062,0.7984084486961365,24.52459087399984
4,0.08832875881685143,0.7817484140396118,0.09311041235923767,0.6843501329421997,24.513690322000002
5,0.0842448702347187,0.8033077716827393,0.08365603317000189,0.8063660264015198,24.43292347499937
6,0.07665059888461463,0.8508564829826355,0.08379069247359622,0.8116710782051086,24.46000690300025
7,0.07345103544204529,0.8703485131263733,0.08353367692911973,0.8196286559104919,24.475975757000015
8,0.07075533783090798,0.8857058882713318,0.08681456914631062,0.8275861740112305,24.282180668000365
9,0.07145443079884209,0.8818665146827698,0.08166323297852231,0.8302386999130249,24.289005293000628
10,0.07426306813937704,0.8594211935997009,0.08541900061802143,0.8302386999130249,24.341198570000415
11,0.07441409044869891,0.8611931800842285,0.08913665243105799,0.8222811818122864,24.38125982100064
12,0.07136447216305448,0.8898405432701111,0.08946009996082802,0.8328912258148193,24.399695236999833
