CMDLINE /Users/gbaldonado/.pyenv/versions/3.10.12/bin/python3.10 tacit-app_social.py /Users/gbaldonado/Developer/ml-alma-taccti/ml-alma-taccti/data/to_be_tacited/sample_data False
MEM 0.742188 1722580384.9741
MEM 25.039062 1722580385.0795
MEM 40.582031 1722580385.1847
MEM 52.882812 1722580385.2893
MEM 62.339844 1722580385.3920
MEM 68.335938 1722580385.4972
MEM 80.925781 1722580385.6024
MEM 90.015625 1722580385.7073
MEM 99.960938 1722580385.8124
MEM 107.082031 1722580385.9176
MEM 115.121094 1722580386.0229
MEM 122.136719 1722580386.1280
MEM 128.792969 1722580386.2332
MEM 134.570312 1722580386.3383
MEM 141.742188 1722580386.4435
MEM 146.839844 1722580386.5487
MEM 152.031250 1722580386.6496
MEM 169.164062 1722580386.7548
MEM 181.460938 1722580386.8569
MEM 195.078125 1722580386.9621
MEM 208.710938 1722580387.0673
MEM 215.910156 1722580387.1724
MEM 226.117188 1722580387.2775
MEM 233.203125 1722580387.3789
MEM 242.679688 1722580387.4841
MEM 257.695312 1722580387.5893
MEM 265.558594 1722580387.6903
MEM 275.242188 1722580387.7955
MEM 289.042969 1722580387.9007
MEM 299.214844 1722580388.0058
MEM 310.031250 1722580388.1110
MEM 314.816406 1722580388.2162
MEM 321.375000 1722580388.3213
MEM 327.878906 1722580388.4265
MEM 334.316406 1722580388.5289
MEM 337.371094 1722580388.6340
MEM 342.421875 1722580388.7391
MEM 346.992188 1722580388.8442
MEM 351.007812 1722580388.9493
MEM 358.847656 1722580389.0544
MEM 366.082031 1722580389.1595
MEM 370.687500 1722580389.2646
MEM 380.246094 1722580389.3697
MEM 382.468750 1722580389.4748
MEM 384.808594 1722580389.5799
MEM 388.152344 1722580389.6849
MEM 390.113281 1722580389.7901
MEM 393.933594 1722580389.8953
MEM 396.167969 1722580390.0004
MEM 398.742188 1722580390.1056
MEM 401.023438 1722580390.2107
MEM 402.921875 1722580390.3159
MEM 405.222656 1722580390.4210
MEM 407.210938 1722580390.5258
MEM 410.058594 1722580390.6310
MEM 413.945312 1722580390.7362
MEM 417.242188 1722580390.8413
MEM 420.457031 1722580390.9465
MEM 422.851562 1722580391.0516
MEM 425.546875 1722580391.1568
MEM 428.007812 1722580391.2620
MEM 429.917969 1722580391.3671
MEM 432.183594 1722580391.4723
MEM 433.867188 1722580391.5775
MEM 436.093750 1722580391.6827
MEM 438.285156 1722580391.7879
MEM 439.988281 1722580391.8904
MEM 441.671875 1722580391.9956
MEM 442.601562 1722580392.0959
MEM 445.003906 1722580392.2011
MEM 456.417969 1722580392.3063
MEM 460.703125 1722580392.4113
MEM 487.140625 1722580392.5125
MEM 496.480469 1722580392.6154
MEM 502.878906 1722580392.7208
MEM 513.773438 1722580392.8259
MEM 523.546875 1722580392.9311
MEM 530.851562 1722580393.0338
MEM 537.414062 1722580393.1390
MEM 547.039062 1722580393.2441
MEM 556.609375 1722580393.3492
MEM 565.531250 1722580393.4543
MEM 574.832031 1722580393.5594
MEM 577.570312 1722580393.6646
MEM 587.660156 1722580393.7698
MEM 595.449219 1722580393.8749
MEM 605.023438 1722580393.9792
MEM 609.121094 1722580394.0843
MEM 612.796875 1722580394.1894
MEM 622.394531 1722580394.2945
MEM 632.851562 1722580394.3997
MEM 639.277344 1722580394.5048
MEM 649.636719 1722580394.6100
MEM 651.976562 1722580394.7130
MEM 658.125000 1722580394.8181
MEM 677.992188 1722580394.9186
MEM 685.773438 1722580395.0238
MEM 690.015625 1722580395.1289
MEM 697.816406 1722580395.2340
MEM 698.730469 1722580395.3391
MEM 696.207031 1722580395.4443
MEM 718.734375 1722580395.5495
FUNC __main__.generate_folder 1069.2461 1722580396.6590 1069.2461 1722580396.6594 0
FUNC __main__.generate_folder 1060.6289 1722580396.8084 1060.6289 1722580396.8085 0
MEM 722.476562 1722580395.6548
MEM 744.648438 1722580395.7599
MEM 756.265625 1722580395.8651
MEM 761.066406 1722580395.9703
MEM 763.335938 1722580396.0755
MEM 765.601562 1722580396.1770
MEM 763.671875 1722580396.2777
MEM 858.535156 1722580396.3829
MEM 1072.222656 1722580396.4882
MEM 1147.058594 1722580396.5886
MEM 1069.851562 1722580396.6938
MEM 1060.613281 1722580396.7990
MEM 1056.933594 1722580396.9013
MEM 1057.113281 1722580397.0065
MEM 1057.992188 1722580397.1117
MEM 1057.992188 1722580397.2129
MEM 1061.351562 1722580397.3180
MEM 1061.351562 1722580397.4208
MEM 1062.035156 1722580397.5252
MEM 1055.656250 1722580397.6304
MEM 1074.578125 1722580397.7356
MEM 1093.089844 1722580397.8407
